text,label
Ye area bilkul police patrolling hoti hai,0
"Waha mat jana, ladke touch karne ki koshish ki",1
"Waha mat jana, ladke kya kar raha hai",1
Ye area bilkul cctv laga hai,0
"Waha mat jana, ladke kya kar raha hai",1
madam bohot ache hain,0
rapist number de apna,1
police safe hai ye jagah,0
police crowded area hai,0
madarchod aaja gaadi mein baith,1
item number de apna,1
"Waha mat jana, ladke bahar mil tu",1
Ye area bilkul harassment ke khilaf laws hain,0
Ye area bilkul time par drop kar diya,0
maal kaisa hai,1
pataka kya kar raha hai,1
madam thank you bola,0
"Waha mat jana, ladke zabardasti kar raha tha",1
Ye area bilkul safe hai ye jagah,0
"Waha mat jana, ladke harassment kar raha hai",1
driver family ke saath safe hai,0
harami ganda comment pass kiya,1
bhosdike touch karne ki koshish ki,1
"Waha mat jana, ladke aaja gaadi mein baith",1
Ye area bilkul family ke saath safe hai,0
Ye area bilkul family ke saath safe hai,0
bhosdike zabardasti kar raha tha,1
Ye area bilkul crowded area hai,0
Ye area bilkul harassment ke khilaf laws hain,0
bhenchod aaja gaadi mein baith,1
guard guide kiya rasta,0
tota touch karne ki koshish ki,1
kutta bahar mil tu,1
gandu rate kya hai,1
madam thank you bola,0
harami ganda comment pass kiya,1
bhenchod number de apna,1
bhosdike gandi nazron se dekh raha tha,1
shopkeeper police patrolling hoti hai,0
Ye area bilkul koi darne ki baat nahi,0
Ye area bilkul family ke saath safe hai,0
Ye area bilkul family ke saath safe hai,0
saala number de apna,1
shopkeeper lighting achi hai,0
Ye area bilkul safe hai ye jagah,0
"Waha mat jana, ladke harassment kar raha hai",1
tharki harassment kar raha hai,1
tharki kya kar raha hai,1
Ye area bilkul koi darne ki baat nahi,0
"Waha mat jana, ladke aaja gaadi mein baith",1
"Waha mat jana, ladke bahar mil tu",1
Ye area bilkul cctv laga hai,0
"Waha mat jana, ladke harassment kar raha hai",1
"Waha mat jana, ladke gandi nazron se dekh raha tha",1
chinnal ganda comment pass kiya,1
Ye area bilkul ne help ki,0
"Waha mat jana, ladke gandi nazron se dekh raha tha",1
kamina gandi nazron se dekh raha tha,1
"Waha mat jana, ladke zabardasti kar raha tha",1
police guide kiya rasta,0
"Waha mat jana, ladke follow kar raha hai",1
"Waha mat jana, ladke aaja gaadi mein baith",1
"Waha mat jana, ladke ganda comment pass kiya",1
Ye area bilkul harassment ke khilaf laws hain,0
Ye area bilkul bohot ache hain,0
item rate kya hai,1
driver harassment ke khilaf laws hain,0
bc harassment kar raha hai,1
harami follow kar raha hai,1
Ye area bilkul guide kiya rasta,0
bhaiya crowded area hai,0
tharki rate kya hai,1
dost family ke saath safe hai,0
kamina aaja gaadi mein baith,1
dost crowded area hai,0
Ye area bilkul time par drop kar diya,0
"Waha mat jana, ladke touch karne ki koshish ki",1
Ye area bilkul harassment ke khilaf laws hain,0
"Waha mat jana, ladke ganda comment pass kiya",1
Ye area bilkul police patrolling hoti hai,0
"Waha mat jana, ladke bahar mil tu",1
"Waha mat jana, ladke rate kya hai",1
driver ne help ki,0
maal ganda comment pass kiya,1
Ye area bilkul guide kiya rasta,0
bhai lighting achi hai,0
item zabardasti kar raha tha,1
"Waha mat jana, ladke zabardasti kar raha tha",1
"Waha mat jana, ladke gandi nazron se dekh raha tha",1
madarchod kya kar raha hai,1
Ye area bilkul crowded area hai,0
randi ganda comment pass kiya,1
Ye area bilkul family ke saath safe hai,0
bsdk chehra kharab kar dunga,1
"Waha mat jana, ladke touch karne ki koshish ki",1
guard koi darne ki baat nahi,0
bhosdike aaja gaadi mein baith,1
Ye area bilkul guide kiya rasta,0
Ye area bilkul crowded area hai,0
tota number de apna,1
chinnal zabardasti kar raha tha,1
security crowded area hai,0
bhosdike aaja gaadi mein baith,1
bhai crowded area hai,0
bhenchod chehra kharab kar dunga,1
bhaiya cctv laga hai,0
Ye area bilkul guide kiya rasta,0
"Waha mat jana, ladke zabardasti kar raha tha",1
"Waha mat jana, ladke zabardasti kar raha tha",1
Ye area bilkul thank you bola,0
"Waha mat jana, ladke kya kar raha hai",1
Ye area bilkul family ke saath safe hai,0
bhenchod chehra kharab kar dunga,1
tharki chehra kharab kar dunga,1
bhaiya crowded area hai,0
randi rate kya hai,1
Ye area bilkul cctv laga hai,0
"Waha mat jana, ladke rate kya hai",1
maal gandi nazron se dekh raha tha,1
driver koi darne ki baat nahi,0
gandu aaja gaadi mein baith,1
kamina gandi nazron se dekh raha tha,1
"Waha mat jana, ladke follow kar raha hai",1
Ye area bilkul safe hai ye jagah,0
Ye area bilkul thank you bola,0
sir ne help ki,0
security ne help ki,0
guard ne help ki,0
"Waha mat jana, ladke touch karne ki koshish ki",1
dost harassment ke khilaf laws hain,0
maal harassment kar raha hai,1
Ye area bilkul safe hai ye jagah,0
